Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-JAN-2023,28681.55,28777.6,28474.7,28737.3,10844942,1664
03-JAN-2023,28713.7,29032.4,28636.4,28962.3,14214606,2153.96
04-JAN-2023,28912.6,28925.45,28600.75,28677.8,17295433,2499.97
05-JAN-2023,28803.05,28803.05,28386,28527.75,21294033,3008.3
06-JAN-2023,28466.9,28507.15,27908.75,27956.45,18896187,2807.96
09-JAN-2023,28134.05,28780,28134.05,28748.15,26261296,4017.1
10-JAN-2023,28627.8,28661.7,28242.9,28502.7,19626467,3177.46
11-JAN-2023,28550.65,28946,28460,28596.35,19386294,3056.13
12-JAN-2023,28722.45,28832.6,28509.5,28720.3,21496558,3023.85
13-JAN-2023,28717,29060.95,28292.3,28933.75,34569149,4881.69
16-JAN-2023,29037.05,29327.9,28895.4,29264.65,30075046,3453.69
17-JAN-2023,29291.15,29518.85,29259.1,29498,22519060,2829.38
18-JAN-2023,29580.25,29715.8,29541.95,29617.8,25496947,3338.98
19-JAN-2023,29487.5,29714.95,29396.05,29632.35,19683719,3352.66
20-JAN-2023,29574.45,29783.8,29479.7,29529.65,24009016,4270.2
23-JAN-2023,29620.25,30124.05,29505.5,30086,18270364,3603.16
24-JAN-2023,30220.5,30499.75,30151.55,30316.9,23082949,4235.49
25-JAN-2023,30208.1,30231.4,30004.75,30043.9,13976308,2256.13
27-JAN-2023,30052.7,30234.35,29542.45,29766.45,19821522,3343.39
30-JAN-2023,29842.7,30224.5,29606.35,30094.85,21244641,3498.55
31-JAN-2023,30163.2,30172.75,29556.3,29740.35,29500685,4469.89
01-FEB-2023,29885.95,30083.4,29659,30018.25,17621046,2857.09
02-FEB-2023,30124.9,30610.1,30107.1,30566.75,23854152,3849.87
03-FEB-2023,30839.05,30849.6,30417.9,30597.6,19988311,3224.28
06-FEB-2023,30502.9,30534.7,30186.7,30411.1,14207946,2281.72
07-FEB-2023,30429.75,30544.1,30250.75,30310.7,13675065,2069.17
08-FEB-2023,30415.6,30938.4,30415.6,30774.05,21878372,3655.07
09-FEB-2023,30769.8,31012.95,30665.45,30990.8,15936544,2763.97
10-FEB-2023,30839.25,30900.15,30636.4,30870.2,13827857,2156.11
13-FEB-2023,30790.2,30792.85,30238.05,30289.65,20440639,5234.12
14-FEB-2023,30481.5,30759.45,30457.4,30588.75,16946938,2790.12
15-FEB-2023,30512,30959.3,30324.2,30934.35,17291570,2629.52
16-FEB-2023,31042.3,31587.35,31024.15,31434.85,32193911,4875.14
17-FEB-2023,31147.1,31218.25,30963.05,31054.85,15798873,2431.72
20-FEB-2023,31056.05,31405.3,30961.95,31222.35,15922955,2822.01
21-FEB-2023,31318.35,31393,30911.05,30947.25,13376367,2227.89
22-FEB-2023,30621.1,30815.9,30503.35,30608.2,14861595,2347.71
23-FEB-2023,30759.6,30899.4,30497.55,30598.35,15708075,2601.27
24-FEB-2023,30732.45,30859.7,30445.9,30514.9,11334522,1844.27
27-FEB-2023,30338.7,30345.5,29667.1,29919.2,15675968,2602.45
28-FEB-2023,29986.2,30294.45,29608.95,29663.95,46224987,6529.15
01-MAR-2023,29722.15,30121.65,29712.8,30097.75,14064343,2335.39
02-MAR-2023,29883.1,29936.4,29618.6,29717.45,15778513,2450.77
03-MAR-2023,29968.75,29988.55,29774.05,29817.05,14847925,2258.81
06-MAR-2023,30048.7,30340.95,30032.05,30179.75,18992841,2850.11
08-MAR-2023,29944.2,30096.7,29729.25,30065.7,14977044,2351.66
09-MAR-2023,30090.25,30096.6,29712,29742.3,14009458,2185.85
10-MAR-2023,29418.6,29584.45,29324,29545.5,11299706,1888.43
13-MAR-2023,29695,30051.6,29187.1,29267,31228396,4361.96
14-MAR-2023,29281.25,29402.25,28638.9,28784.7,25456296,4111.87
15-MAR-2023,29080.35,29179.5,28689.4,28716.5,19125796,2893.94
16-MAR-2023,28694.3,28746.35,28400.35,28517.25,18818507,2811.52
17-MAR-2023,28737.7,29120.75,28721.1,28854.45,31796160,5723.28
20-MAR-2023,28732.85,28744.3,28209.05,28442.95,22355426,3243.36
21-MAR-2023,28455.65,28552,28124.25,28164.85,21587819,3137.06
22-MAR-2023,28375.9,28549,28148.4,28217.6,17145907,2554.69
23-MAR-2023,28065.8,28116.45,27843.25,27999.25,19331444,2694.31
24-MAR-2023,28208.35,28453.85,27869.5,27935.65,19376461,2800.19
27-MAR-2023,27985.65,28193.6,27818.25,27948.7,13384843,2028.75
28-MAR-2023,27998.3,28090.75,27674.7,27702.75,19021218,2563.88
29-MAR-2023,27777.95,28113.95,27639.65,28011.3,23466657,3422.42
31-MAR-2023,28379.75,28741.6,28277,28698.6,22629058,3466.72
03-APR-2023,28841.6,28841.6,28449.25,28633,13105825,2091.53
05-APR-2023,28520,29032.65,28506.7,28977.2,21530945,3695.71
06-APR-2023,28876.2,29004.8,28666,28764.55,16880663,2537.08
10-APR-2023,28810.85,29086.4,28739.4,29041.6,12647190,2075.53
11-APR-2023,29051.75,29095.45,28530.5,28675.75,17749294,2707.43
12-APR-2023,28773.4,29031.05,28578.1,28980.3,16265815,2584.81
13-APR-2023,28713.65,28736.7,28230,28342.8,27377930,4708.47
17-APR-2023,27059.15,27076.15,26184.45,27008.2,84857287,11929.64
18-APR-2023,27189.4,27189.4,26851.7,27166.95,28086323,4180
19-APR-2023,27174.6,27193.1,26640.2,26687.45,26863377,4045.83
20-APR-2023,26694.1,26868.9,26597.95,26637.15,19802621,3157.23
21-APR-2023,26701.7,26835.7,26602.8,26822.1,26954868,3592.02
24-APR-2023,26910.7,27034.9,26721.5,27013.65,24391362,2915.23
25-APR-2023,27028.8,27082.1,26820.7,26985.8,18035026,2739.95
26-APR-2023,27007.55,27158.75,26977.55,27065,16621507,2598.91
27-APR-2023,27079,27378.1,27024.15,27355.25,24421032,4142.35
28-APR-2023,27401.95,27743,27388.8,27708.2,38951671,5105.4
02-MAY-2023,27792.7,28154.1,27756,28025,26046321,3995.51
03-MAY-2023,27872.4,27883.45,27693.3,27743.75,16125748,2667.43
04-MAY-2023,27716.55,27912.5,27685.55,27883.2,14057238,2164.6
05-MAY-2023,27905.35,27915.25,27634.85,27719.95,14934850,2072.36
08-MAY-2023,27837.3,27947,27735.15,27920.95,14935665,1820.17
09-MAY-2023,27961,28168.45,27910.65,28125.5,15483231,2296.88
10-MAY-2023,28220.45,28236.85,27998.95,28091.75,14705651,2255.06
11-MAY-2023,28298.25,28348.35,28039.2,28102,16105218,2500.04
12-MAY-2023,28070.85,28164.45,27874.1,28028.4,15488230,2182.59
15-MAY-2023,28083.75,28323.55,27957.5,28165.4,13667754,1859.85
16-MAY-2023,28252.75,28421.05,28178.7,28216,12299684,1940.07
17-MAY-2023,28197.8,28300.1,27776.8,27942.95,22443611,3100.45
18-MAY-2023,28125.45,28137.7,27858.75,27892.55,13849088,2027.36
19-MAY-2023,28063.35,28369.4,28007.05,28303.65,22932396,3327.43
22-MAY-2023,28357.6,29062.05,28294.25,29007.3,22154768,3068.37
23-MAY-2023,29076.5,29319.9,28830,28873.7,20770635,2868.07
24-MAY-2023,28721.15,28959.35,28655,28890.8,14780823,2172.32
25-MAY-2023,28854.95,28970.95,28686.2,28928.75,16177681,2082.14
26-MAY-2023,28975.95,29384.85,28975.95,29355.9,17548870,2926.93
29-MAY-2023,29629.75,29659.6,29200.25,29240.2,13613973,1952.7
30-MAY-2023,29253.5,29405.2,29172.7,29297.65,17293994,2437.15
31-MAY-2023,29248.05,29495.05,29212.5,29319.75,46017391,7087.21
01-JUN-2023,29455.35,29599.1,29382.05,29446.25,13567608,2034.41
02-JUN-2023,29485.85,29550.15,29272.55,29328.15,21167089,3279.19
05-JUN-2023,29459.15,29533.4,29217.35,29238.75,14803305,2144.07
06-JUN-2023,29003.5,29013.9,28485.85,28689.05,27342670,4049.34
07-JUN-2023,28886.7,28937.95,28754.85,28913.7,16856099,2322.76
08-JUN-2023,28892.65,28918.05,28568.6,28591.1,18994862,2540.15
09-JUN-2023,28645.7,28674.45,28322.15,28355.35,19079094,2508.81
12-JUN-2023,28457.45,28844.3,28402.55,28784,18162055,2646.75
13-JUN-2023,28935.9,28974.15,28866.2,28899.3,17906413,2321.49
14-JUN-2023,28896.25,28928.65,28666.9,28855.05,18287941,2346.91
15-JUN-2023,28824.6,28833.25,28645.8,28699,27881632,3147.01
16-JUN-2023,28671.1,28759.4,28441.05,28588.8,42621755,4806.04
19-JUN-2023,28641.45,28750.7,28568.55,28708.3,16252353,2302.92
20-JUN-2023,28728.5,28966.95,28640.3,28930.8,20007621,2652.29
21-JUN-2023,29022.7,29084.45,28869.8,29025.7,15564246,2288.52
22-JUN-2023,28969.15,28977.9,28750.4,28811.15,17641414,2426.83
23-JUN-2023,28747.6,28752.5,28482.15,28554.25,18316417,2566.47
26-JUN-2023,28539.8,28631.75,28451.15,28590.1,12114033,2092.82
27-JUN-2023,28681.95,28821.85,28630.45,28800.15,11737434,1925.14
28-JUN-2023,28945,28997.35,28778.15,28842.95,15968318,2505.41
30-JUN-2023,29013.15,29594.2,28957.15,29563,27993009,4303.21
03-JUL-2023,29648.4,29718.95,29334.4,29424.8,19273869,2840.04
04-JUL-2023,29557.55,29743.35,29444.8,29729.85,19017080,2555.26
05-JUL-2023,29910,29910.35,29702.65,29841.85,21322294,3339.79
06-JUL-2023,29792.1,29848.05,29690.25,29805.2,18418434,2653.45
07-JUL-2023,29654.25,29937.75,29508.85,29560.45,18800490,2853.94
10-JUL-2023,29609.85,29609.85,29116.3,29194.7,15841523,2423.42
11-JUL-2023,29299.3,29371.5,29092.7,29324.8,20057304,2788.79
12-JUL-2023,29412.5,29424.75,29020.2,29118.05,24422329,5191.31
13-JUL-2023,29158.55,29903.65,29115.7,29628.2,39793663,6061.13
14-JUL-2023,29860.55,31017.55,29847.05,30945.5,53639539,8299.91
17-JUL-2023,31007.6,31658.1,30805,31041.6,51052641,6684.44
18-JUL-2023,31089.9,31491.75,30865.85,31371.15,37119435,5987.78
19-JUL-2023,31490.45,31653.85,31068.15,31353.55,29965963,5285.03
20-JUL-2023,31292.35,31348.6,30960.75,31145.9,20478228,3302.47
21-JUL-2023,29854.25,30338.1,29701.2,29871.05,78277235,11485.03
24-JUL-2023,29993.85,30112.9,29807.15,29843.45,21689374,3308.02
25-JUL-2023,29899,29921.4,29685.4,29761.15,17989629,2683.2
26-JUL-2023,29854.4,29988.9,29770.2,29800.4,15984432,2428.84
27-JUL-2023,29826,29895,29670.5,29745,36217924,4758.95
28-JUL-2023,29741.15,29829.75,29339.35,29490.25,19445123,2934.94
31-JUL-2023,29605.5,29951.6,29452.35,29928.45,22494998,3431.45
01-AUG-2023,29998.15,30348.75,29948,30288.65,20722121,3403.09
02-AUG-2023,30253.1,30259.4,29801.55,30043.6,19250370,3145.09
03-AUG-2023,29913.65,30054.35,29685.15,29971.1,17323760,2723.96
04-AUG-2023,30082.55,30555.8,30027.3,30436.1,22490374,3208.56
07-AUG-2023,30582.45,30809,30451.35,30779.25,14994222,2411.84
08-AUG-2023,30817.25,30910.55,30670.15,30824.95,22479772,3070.81
09-AUG-2023,30772.5,30964.7,30590.55,30940.05,16953572,2547.48
10-AUG-2023,30845.65,30967.75,30722.2,30867,16853228,2456.43
11-AUG-2023,30950.3,31164.3,30764.5,30819.15,23253211,3548.79
14-AUG-2023,30755.8,31058.9,30570.5,31028.9,13650313,2308.33
16-AUG-2023,31129.3,31304.75,31047,31212.1,20437311,3329.54
17-AUG-2023,31205.3,31238.25,30885.4,31060.2,17297179,2926.83
18-AUG-2023,30907.45,30934.1,30515,30604.05,19949872,3107.69
21-AUG-2023,30626.25,30987.65,30597.05,30937.55,12871939,2152.18
22-AUG-2023,30973.9,31024.6,30785.7,30902.4,11442798,1817.63
23-AUG-2023,31036.95,31084.65,30887.45,30924.1,12220885,2019.53
24-AUG-2023,31084.55,31212.45,31004.75,31112.1,37465608,13217.87
25-AUG-2023,30907.85,30998.95,30803,30914.55,15196452,2999.06
28-AUG-2023,30975.35,31025.75,30745,30773.6,11138519,1982.11
29-AUG-2023,30899.95,30978.25,30784.85,30866.05,11379021,2151.07
30-AUG-2023,31069.85,31197.75,31023.75,31103.9,11775164,2223.06
31-AUG-2023,31175.1,31428,31067.7,31164.9,35348359,5582.12
01-SEP-2023,31166.6,31550.95,31149.25,31514.35,14318264,2431.56
04-SEP-2023,31552.5,32197.85,31454.5,32163.95,30834344,4055.91
05-SEP-2023,32207.4,32482.65,32014.95,32365.3,23992104,3741.61
06-SEP-2023,32437.85,32515.05,32038.55,32312.3,19392412,3314.75
07-SEP-2023,32264.5,32497.65,32153.4,32448.35,17738654,2984.65
08-SEP-2023,32450.75,32561.25,32353.4,32415.65,12730664,2217.89
11-SEP-2023,32531,32674.45,32458.05,32642.8,15301652,2564.47
12-SEP-2023,32758.55,33114.15,32429.5,32977.9,24395076,4147.34
13-SEP-2023,32943.15,32982.35,32713.1,32886.7,14941956,2539.18
14-SEP-2023,32991.45,33240.2,32949.55,33045.4,23991756,3752.73
15-SEP-2023,33216.9,33402.75,33156.2,33355.05,31941863,4729.15
18-SEP-2023,33255.1,33266.9,33030.35,33129.5,14208277,2379.48
20-SEP-2023,32860.9,33167.3,32851.75,32949.2,16602223,2639.38
21-SEP-2023,32849.9,32976.85,32504.75,32919.95,20687894,3380.14
22-SEP-2023,32799.05,33109.65,32664.4,32906.3,22947809,3043.59
25-SEP-2023,32881.35,32960.95,32581.15,32648.6,15198139,2477.79
26-SEP-2023,32675.1,32693.25,32391.45,32471,12200009,2104.44
27-SEP-2023,32439.05,32651,32339.95,32594.65,13787962,2299.45
28-SEP-2023,32616.05,32623.35,31808.75,31879.6,26083976,3663.81
29-SEP-2023,31814.65,32020.35,31514.9,31784.4,21961337,3557.96
03-OCT-2023,31772.75,31852.65,31499.35,31717.25,14264643,2562.66
04-OCT-2023,31531.35,31874.7,31412.5,31811.5,16011307,2678.24
05-OCT-2023,31995,32368.45,31956.9,32125.4,21368285,3610.92
06-OCT-2023,32251.45,32438.4,32098.8,32341.7,13964599,2357.03
09-OCT-2023,32216.15,32638.25,32203.55,32308.55,17409437,3598.27
10-OCT-2023,32423.95,32616.35,32200.25,32569.45,14483712,2650.34
11-OCT-2023,32688.7,32981.9,32489.6,32548.05,24930909,3711.94
12-OCT-2023,32474.15,32556.5,31907,32003.6,28512778,4935.61
13-OCT-2023,31457.5,32024.35,31434.1,31807.95,37321841,5765.99
16-OCT-2023,31831.05,31949.75,31710.65,31750.35,15813352,2721.9
17-OCT-2023,31884.25,31938.2,31770.75,31794.9,13240988,2357.81
18-OCT-2023,31778.55,31882.45,31568.2,31606.65,14900270,2941.03
19-OCT-2023,31345.55,31667,31345.55,31540.05,31158920,4931.44
20-OCT-2023,31445.45,31605.75,31360.5,31469.35,17268500,2965.13
23-OCT-2023,31358.45,31456.1,30802.05,30848.4,13449578,2237.12
25-OCT-2023,30790.35,31004.2,30469,30530.5,16568181,2758.76
26-OCT-2023,30184,30312.45,30054.2,30225.65,28231932,4228.18
27-OCT-2023,30328.25,30676.95,30313.95,30599.7,15078018,2699.06
30-OCT-2023,30627.9,30698.4,30433.65,30640.95,10953689,1857.36
31-OCT-2023,30765.25,30769.2,30396.05,30582.25,12362701,1958.02
01-NOV-2023,30609.45,30694.45,30283.15,30344.85,10910506,2011.97
02-NOV-2023,30575.8,30731.55,30495.3,30582.75,12355798,1992.1
03-NOV-2023,30797.25,30924.85,30739.35,30779.95,11777494,2043.83
06-NOV-2023,30955.35,31034.15,30863.65,30972.95,9486205,1660.75
07-NOV-2023,30949.95,31052.5,30860.65,30981.6,9352974,1485.25
08-NOV-2023,31049.75,31128.9,30865.25,30917.2,11059770,1632.78
09-NOV-2023,30982.65,30993.05,30655.55,30717.7,20466546,2874.26
10-NOV-2023,30623.7,30680.85,30504.1,30639.05,12703735,1706.62
12-NOV-2023,30852.15,30911.65,30820.95,30861,2066938,246.37
13-NOV-2023,30793.65,30810.35,30572.95,30635.85,8906770,1629.27
15-NOV-2023,31095.8,31472.5,30987.75,31429.35,24328330,4095.44
16-NOV-2023,31555.1,32453.65,31431.5,32273.35,26936523,4845.89
17-NOV-2023,32288.9,32405.85,32134.65,32191.3,16422338,2871.37
20-NOV-2023,32202.3,32600.35,32198.1,32383.2,15288580,2743.26
21-NOV-2023,32507.75,32587.15,32300.05,32325.7,12383952,2365.67
22-NOV-2023,32298,32583.45,32262.15,32564.4,11078540,2089.79
23-NOV-2023,32657.15,32688,32334.5,32370.65,14217724,2611.12
24-NOV-2023,32341,32420.45,32010,32055.15,11833523,2168.63
28-NOV-2023,32115.85,32187.95,31807.85,32118.45,14291599,2474.66
29-NOV-2023,32258.5,32633,32248.35,32608.4,18809278,2861.66
30-NOV-2023,32569.8,32701.65,32455.3,32582.2,39485165,9405.23
01-DEC-2023,32729.8,32729.8,32478.75,32598.7,13434173,1966.91
04-DEC-2023,32888.2,32888.2,32522.45,32665.55,16847469,2606.96
05-DEC-2023,32754,32755.2,32252.45,32479.15,18997780,2881.86
06-DEC-2023,32560.15,33073.05,32529.3,33022.6,25298893,3605.82
07-DEC-2023,33053.65,33111.65,32891.75,32961.6,16759090,2734.25
08-DEC-2023,33098.65,33452.4,33012.7,33392.9,25718273,4280.04
11-DEC-2023,33424,33615.7,33332.5,33514.25,16299542,2727
12-DEC-2023,33484.8,33799.8,33358,33493.9,19739960,3352.46
13-DEC-2023,33466.3,33497.45,32715.65,33066.65,23528414,4135.4
14-DEC-2023,33451.95,34308.55,33419.1,34223.35,43972461,7568.37
15-DEC-2023,34427.55,35947.6,34427.55,35782.45,67549074,12469.99
18-DEC-2023,35707.3,36132,35487.95,35685.55,27593056,4602.38
19-DEC-2023,35728.4,35762.1,35091.95,35345,20560813,3416.16
20-DEC-2023,35492.8,35928.5,34621,34741,32449410,5115.68
21-DEC-2023,34406.8,35020,34394.55,34846.05,19948751,3351.93
22-DEC-2023,34974.65,35770.45,34740.15,35637.8,39173458,4960.05
26-DEC-2023,35421.15,35682.65,35185.45,35493.4,40071663,4012.38
27-DEC-2023,35557.3,35814.7,35447.1,35741,22864198,3044.49
28-DEC-2023,35812,35850.4,35614.8,35691.6,21678647,3375.15
29-DEC-2023,35559.4,35781.1,35395.05,35515,18044431,2770.83